"Test","Group","Participant","word","nTrials","nCorrect","Accuracy"
"pre","LV","VID_Listener5","haired",7,1,0.142857142857143
"pre","LV","VID_Listener5","hard",7,1,0.142857142857143
"pre","LV","VID_Listener5","hayed",7,3,0.428571428571429
"pre","LV","VID_Listener5","head",6,1,0.166666666666667
"pre","LV","VID_Listener5","hear",6,1,0.166666666666667
"pre","LV","VID_Listener5","heard",5,0,0
"pre","LV","VID_Listener5","heed",6,3,0.5
"pre","LV","VID_Listener5","hid",6,4,0.666666666666667
"pre","LV","VID_Listener5","hide",6,4,0.666666666666667
"pre","LV","VID_Listener5","hoard",6,1,0.166666666666667
"pre","LV","VID_Listener5","hod",6,4,0.666666666666667
"pre","LV","VID_Listener5","hoed",6,2,0.333333333333333
"pre","LV","VID_Listener5","hood",6,3,0.5
"pre","LV","VID_Listener5","howd",6,3,0.5
"pre","LV","VID_Listener5","hoyd",6,4,0.666666666666667
"pre","LV","VID_Listener5","hud",5,1,0.2
"pre","LV","VID_Listener5","whod",4,2,0.5
