participant,group,speaker,image1,image2,image3,target,response,correct
C04-LV,LV,S07,ball,park,suit,suit,suit,1
C04-LV,LV,S07,ring,tears,cake,ring,ring,1
C04-LV,LV,S0M,skirt,kite,cup,kite,kite,1
C04-LV,LV,S08M,toys,bike,lid,lid,lid,1
C04-LV,LV,S0M,shark,leg,cat,cat,cat,1
C04-LV,LV,S08M,clock,road,kite,kite,kite,1
C04-LV,LV,S07,shark,park,bears,park,park,1
C04-LV,LV,S07,cut,cot,bike,cot,cut,0
C04-LV,LV,S07,shirt,toys,cut,toys,toys,1
C04-LV,LV,S06F,cup,ten,road,ten,ten,1
C04-LV,LV,S06F,book,cot,bees,book,book,1
C04-LV,LV,S08M,skirt,ball,tears,skirt,skirt,1
C04-LV,LV,S07,bike,shirt,hat,bike,bike,1
C04-LV,LV,S06F,gate,pears,cut,pears,pears,1
C04-LV,LV,S0M,lid,skirt,piers,piers,piers,1
C04-LV,LV,S08M,cat,shark,coat,shark,shark,1
